"","TIV","TGMV","TWMV","TCV","LVV","HCV","AV","id","scanner","segmentation","SITE"
"1",1.34595,6.244243,4.088134,5.004782,10.367414,7.429954,2.594173,"ID_72","SKYRA","samseg","SKYRA_samseg"
"2",1.424676,6.586141,4.431617,5.396055,10.209276,7.580544,2.736267,"ID_34","SKYRA","samseg","SKYRA_samseg"
"3",1.477231,6.330336,4.044564,5.151712,11.457255,7.515745,3.216663,"ID_31","SKYRA","samseg","SKYRA_samseg"
"4",1.792503,7.731614,5.942626,6.392718,10.356453,8.805238,3.861528,"ID_44","SKYRA","samseg","SKYRA_samseg"
"5",1.380143,6.310861,4.161307,5.06462,10.128879,8.088162,2.996357,"ID_69","SKYRA","samseg","SKYRA_samseg"
"6",1.405123,6.47206,4.69444,5.246593,9.884496,7.884981,2.990173,"ID_22","VERIO","samseg","VERIO_samseg"
"7",1.54328,7.111225,5.078496,5.81007,10.28107,8.213271,3.223811,"ID_101","VERIO","samseg","VERIO_samseg"
"8",1.72971,7.529955,5.633336,5.96409,10.120509,8.495892,3.548326,"ID_115","VERIO","samseg","VERIO_samseg"
"9",1.714728,7.437788,5.339466,5.843298,10.962226,8.350468,3.424035,"ID_29","SKYRA","samseg","SKYRA_samseg"
"10",1.39958,5.992309,4.408968,4.735501,10.280613,7.528181,2.914111,"ID_64","VERIO","samseg","VERIO_samseg"
"11",1.747498,7.946095,5.218187,6.495828,11.57734,8.789148,3.763879,"ID_8","VERIO","samseg","VERIO_samseg"
"12",1.647319,7.131505,5.383719,5.641487,10.567905,9.023377,3.474089,"ID_84","VERIO","samseg","VERIO_samseg"
"13",1.498879,6.844246,5.018388,5.54887,9.940233,8.140267,3.198606,"ID_117","VERIO","samseg","VERIO_samseg"
"14",1.585951,7.201606,4.829941,5.701442,10.170326,8.273824,3.040319,"ID_61","VERIO","samseg","VERIO_samseg"
"15",1.57168,7.258478,5.066271,6.072567,10.662568,9.702201,3.502493,"ID_40","VERIO","samseg","VERIO_samseg"
"16",1.484292,6.81527,4.976492,5.511785,9.953852,8.107792,3.201726,"ID_117","SKYRA","samseg","SKYRA_samseg"
"17",1.451088,6.736954,4.667736,5.51024,9.991129,7.879155,3.036062,"ID_86","SKYRA","samseg","SKYRA_samseg"
"18",1.448372,6.515372,4.602896,5.250753,10.21628,8.693885,3.219621,"ID_21","VERIO","samseg","VERIO_samseg"
"19",1.557173,7.035603,4.418016,5.639685,10.107765,8.683681,3.279659,"ID_42","SKYRA","samseg","SKYRA_samseg"
"20",1.658255,7.460151,5.098884,6.083185,10.286009,8.501589,2.860658,"ID_1","VERIO","samseg","VERIO_samseg"
"21",1.724434,7.519388,5.665573,6.223985,10.826107,9.040694,3.619093,"ID_100","VERIO","samseg","VERIO_samseg"
"22",1.454006,6.52731,4.636255,5.276826,10.207262,8.718799,3.18294,"ID_21","SKYRA","samseg","SKYRA_samseg"
"23",1.338783,6.125547,4.13459,4.885337,10.179792,7.24045,2.916478,"ID_60","VERIO","samseg","VERIO_samseg"
"24",1.384211,6.406993,4.372545,5.191973,10.174887,7.823401,2.740752,"ID_15","SKYRA","samseg","SKYRA_samseg"
"25",1.518176,6.878528,4.92449,5.632015,10.144356,8.168476,3.433698,"ID_90","VERIO","samseg","VERIO_samseg"
"26",1.728382,7.397851,5.584293,5.842935,10.639557,9.200087,3.683246,"ID_104","SKYRA","samseg","SKYRA_samseg"
"27",1.681221,7.398435,5.620852,6.132433,10.84738,8.540465,3.611579,"ID_52","VERIO","samseg","VERIO_samseg"
"28",1.438699,6.361547,4.851603,5.281393,10.087509,7.609762,3.336732,"ID_110","VERIO","samseg","VERIO_samseg"
"29",1.310466,5.415883,3.966623,4.22883,11.064703,6.814121,2.857298,"ID_96","SKYRA","samseg","SKYRA_samseg"
"30",1.796748,8.054271,5.476591,6.513907,10.857785,7.737823,3.369812,"ID_51","SKYRA","samseg","SKYRA_samseg"
"31",1.661041,6.837438,5.13012,5.562627,10.612122,8.541472,3.42499,"ID_112","VERIO","samseg","VERIO_samseg"
"32",1.583067,7.085086,4.891925,5.669062,10.283358,8.124177,3.334147,"ID_93","VERIO","samseg","VERIO_samseg"
"33",1.467936,6.432418,4.658995,5.143145,10.590928,8.587375,3.197036,"ID_119","VERIO","samseg","VERIO_samseg"
"34",1.607033,7.433267,4.795278,6.086375,10.017647,7.560354,3.203701,"ID_66","SKYRA","samseg","SKYRA_samseg"
"35",1.610696,7.169559,4.888697,5.813401,10.640113,8.205979,3.201084,"ID_71","VERIO","samseg","VERIO_samseg"
"36",1.489773,6.743066,5.156332,5.38031,9.829589,8.118949,2.964602,"ID_97","VERIO","samseg","VERIO_samseg"
"37",1.682289,8.110502,5.092414,6.741883,10.030906,8.860092,3.211859,"ID_76","SKYRA","samseg","SKYRA_samseg"
"38",1.578939,7.245569,5.345746,5.963507,10.271163,7.751495,3.058206,"ID_68","SKYRA","samseg","SKYRA_samseg"
"39",1.311166,6.252458,4.242868,4.967871,9.67896,7.191929,2.666299,"ID_47","VERIO","samseg","VERIO_samseg"
"40",1.350609,6.310857,4.278123,5.10041,9.842398,7.044907,2.86754,"ID_57","SKYRA","samseg","SKYRA_samseg"
"41",1.44947,6.754266,4.496044,5.459603,9.939191,8.322389,2.909492,"ID_77","VERIO","samseg","VERIO_samseg"
"42",1.722557,7.677616,5.590015,6.235685,10.149339,8.592606,3.61196,"ID_87","VERIO","samseg","VERIO_samseg"
"43",1.717947,7.464331,5.284613,5.893355,10.997615,8.186282,3.395708,"ID_29","VERIO","samseg","VERIO_samseg"
"44",1.477772,6.748882,4.6076,5.397223,10.162842,8.498567,3.090373,"ID_5","SKYRA","samseg","SKYRA_samseg"
"45",1.578943,6.644884,5.187564,5.439442,10.37601,8.408456,3.158148,"ID_74","VERIO","samseg","VERIO_samseg"
"46",1.796364,7.921962,5.748686,6.36172,10.727392,8.355138,3.560804,"ID_58","SKYRA","samseg","SKYRA_samseg"
"47",1.864534,8.712737,5.879149,7.071907,10.656318,9.019405,3.722877,"ID_45","SKYRA","samseg","SKYRA_samseg"
"48",1.713193,7.314924,5.590965,5.905054,10.819422,8.938031,3.532282,"ID_43","VERIO","samseg","VERIO_samseg"
"49",1.354309,6.254046,4.063248,4.954988,10.802672,7.761745,2.777045,"ID_65","VERIO","samseg","VERIO_samseg"
"50",1.359139,6.178954,4.30067,5.134317,9.914975,7.123266,2.758454,"ID_82","SKYRA","samseg","SKYRA_samseg"
"51",1.431679,6.66848,4.724933,5.278898,9.949547,7.878843,3.065612,"ID_81","SKYRA","samseg","SKYRA_samseg"
"52",1.682316,8.076337,5.11397,6.69947,10.015841,8.853187,3.230071,"ID_76","VERIO","samseg","VERIO_samseg"
"53",1.47982,6.792833,4.875594,5.530225,10.00495,7.875028,3.064803,"ID_94","VERIO","samseg","VERIO_samseg"
