"","TIV","TGMV","TWMV","TCV","LVV","HCV","AV","id","scanner","segmentation","SITE"
"1",1.345518,6.245799,4.088211,5.002213,10.367527,7.44135,2.604316,"ID_72","SKYRA","samseg","SKYRA_samseg"
"2",1.42432,6.586699,4.430475,5.394069,10.207226,7.593367,2.746231,"ID_34","SKYRA","samseg","SKYRA_samseg"
"3",1.478648,6.331224,4.038322,5.145048,11.462232,7.529284,3.228202,"ID_31","SKYRA","samseg","SKYRA_samseg"
"4",1.797137,7.743192,5.942146,6.397014,10.352148,8.824288,3.874941,"ID_44","SKYRA","samseg","SKYRA_samseg"
"5",1.38016,6.313008,4.161394,5.062379,10.129259,8.102541,3.007686,"ID_69","SKYRA","samseg","SKYRA_samseg"
"6",1.405333,6.476841,4.691796,5.245972,9.887287,7.893572,3.000247,"ID_22","VERIO","samseg","VERIO_samseg"
"7",1.544114,7.116707,5.070772,5.807631,10.270134,8.223535,3.233386,"ID_101","VERIO","samseg","VERIO_samseg"
"8",1.731979,7.535478,5.626061,5.958978,10.129958,8.510913,3.558247,"ID_115","VERIO","samseg","VERIO_samseg"
"9",1.399977,5.997373,4.413982,4.73736,10.275755,7.542904,2.924204,"ID_64","VERIO","samseg","VERIO_samseg"
"10",1.749142,7.950996,5.209488,6.489347,11.559039,8.796703,3.772844,"ID_8","VERIO","samseg","VERIO_samseg"
"11",1.499722,6.85019,5.019472,5.547748,9.952157,8.157816,3.209304,"ID_117","VERIO","samseg","VERIO_samseg"
"12",1.572892,7.263486,5.058469,6.066176,10.652921,9.70907,3.51168,"ID_40","VERIO","samseg","VERIO_samseg"
"13",1.485241,6.82321,4.983601,5.513714,9.967702,8.127304,3.213876,"ID_117","SKYRA","samseg","SKYRA_samseg"
"14",1.452038,6.742878,4.66789,5.510449,9.991663,7.892587,3.047508,"ID_86","SKYRA","samseg","SKYRA_samseg"
"15",1.448804,6.520142,4.599986,5.250337,10.211398,8.701477,3.229212,"ID_21","VERIO","samseg","VERIO_samseg"
"16",1.559518,7.044174,4.418137,5.640605,10.108169,8.700758,3.291823,"ID_42","SKYRA","samseg","SKYRA_samseg"
"17",1.660072,7.465653,5.097251,6.077207,10.293691,8.516606,2.871562,"ID_1","VERIO","samseg","VERIO_samseg"
"18",1.454994,6.531375,4.636405,5.275752,10.207554,8.736035,3.194819,"ID_21","SKYRA","samseg","SKYRA_samseg"
"19",1.33816,6.125741,4.125578,4.880152,10.177445,7.244224,2.923959,"ID_60","VERIO","samseg","VERIO_samseg"
"20",1.384281,6.409992,4.37266,5.190432,10.175216,7.83658,2.751327,"ID_15","SKYRA","samseg","SKYRA_samseg"
"21",1.519101,6.883439,4.919418,5.628593,10.144372,8.176864,3.443138,"ID_90","VERIO","samseg","VERIO_samseg"
"22",1.732556,7.411454,5.592364,5.847328,10.651608,9.225106,3.696842,"ID_104","SKYRA","samseg","SKYRA_samseg"
"23",1.683183,7.403917,5.613709,6.126097,10.84907,8.555454,3.621409,"ID_52","VERIO","samseg","VERIO_samseg"
"24",1.438938,6.362286,4.837544,5.271809,10.077646,7.611873,3.342339,"ID_110","VERIO","samseg","VERIO_samseg"
"25",1.30932,5.415571,3.975781,4.226517,11.069697,6.824759,2.868065,"ID_96","SKYRA","samseg","SKYRA_samseg"
"26",1.801088,8.066134,5.474043,6.515886,10.860438,7.74852,3.381386,"ID_51","SKYRA","samseg","SKYRA_samseg"
"27",1.663062,6.843491,5.130103,5.559848,10.60782,8.550079,3.433884,"ID_112","VERIO","samseg","VERIO_samseg"
"28",1.608801,7.438782,4.791806,6.084859,10.023707,7.568493,3.214662,"ID_66","SKYRA","samseg","SKYRA_samseg"
"29",1.490134,6.744484,5.141929,5.37324,9.836673,8.129665,2.972756,"ID_97","VERIO","samseg","VERIO_samseg"
"30",1.686245,8.123551,5.078739,6.741977,10.018682,8.876094,3.222828,"ID_76","SKYRA","samseg","SKYRA_samseg"
"31",1.580975,7.253706,5.34533,5.965937,10.265857,7.765763,3.069377,"ID_68","SKYRA","samseg","SKYRA_samseg"
"32",1.310409,6.257821,4.244576,4.972498,9.674245,7.204089,2.676774,"ID_47","VERIO","samseg","VERIO_samseg"
"33",1.349084,6.307266,4.275415,5.09462,9.846189,7.052465,2.877633,"ID_57","SKYRA","samseg","SKYRA_samseg"
"34",1.450091,6.760654,4.503525,5.459283,9.947633,8.340564,2.920581,"ID_77","VERIO","samseg","VERIO_samseg"
"35",1.724905,7.684299,5.585948,6.229724,10.155539,8.610587,3.622045,"ID_87","VERIO","samseg","VERIO_samseg"
"36",1.478725,6.755783,4.61305,5.397623,10.175915,8.518658,3.102134,"ID_5","SKYRA","samseg","SKYRA_samseg"
"37",1.579916,6.646724,5.177459,5.431662,10.374331,8.410895,3.165697,"ID_74","VERIO","samseg","VERIO_samseg"
"38",1.801626,7.939076,5.752869,6.366982,10.737939,8.373143,3.573919,"ID_58","SKYRA","samseg","SKYRA_samseg"
"39",1.870677,8.730257,5.865435,7.073322,10.64449,9.036135,3.735226,"ID_45","SKYRA","samseg","SKYRA_samseg"
"40",1.353466,6.258407,4.06674,4.959707,10.79264,7.770037,2.78742,"ID_65","VERIO","samseg","VERIO_samseg"
"41",1.358748,6.179271,4.300234,5.132415,9.912343,7.133601,2.76898,"ID_82","SKYRA","samseg","SKYRA_samseg"
"42",1.43157,6.670634,4.72429,5.277073,9.945698,7.893695,3.076678,"ID_81","SKYRA","samseg","SKYRA_samseg"
"43",1.683482,8.07779,5.092451,6.684336,10.001508,8.857308,3.236862,"ID_76","VERIO","samseg","VERIO_samseg"
"44",1.48013,6.798369,4.870622,5.530765,9.996755,7.886698,3.074708,"ID_94","VERIO","samseg","VERIO_samseg"
"45",1.562808,6.556753,5.162821,5.319386,10.391376,8.42075,3.254241,"ID_74","SKYRA","samseg","SKYRA_samseg"
"46",1.492173,6.940549,4.813662,5.544593,9.847635,8.070657,3.332582,"ID_19","VERIO","samseg","VERIO_samseg"
"47",1.381751,6.097754,4.900851,4.963178,10.107937,7.161375,3.062095,"ID_37","VERIO","samseg","VERIO_samseg"
"48",1.606426,6.365658,5.293622,5.098002,10.524752,7.931425,3.004588,"ID_106","SKYRA","samseg","SKYRA_samseg"
"49",1.498326,6.860322,4.9683,5.604051,10.01596,7.892143,3.105351,"ID_94","SKYRA","samseg","SKYRA_samseg"
"50",1.565171,7.024293,4.88454,5.761441,10.191258,8.530946,3.60767,"ID_33","VERIO","samseg","VERIO_samseg"
"51",1.222361,5.575102,3.808782,4.408252,10.064162,6.962954,2.493292,"ID_70","SKYRA","samseg","SKYRA_samseg"
"52",1.560952,7.088732,4.35418,5.694693,10.125532,8.692666,3.257228,"ID_42","VERIO","samseg","VERIO_samseg"
"53",1.364076,6.026099,4.191743,4.905206,10.208812,7.277264,2.90112,"ID_14","VERIO","samseg","VERIO_samseg"
"54",1.331566,6.27022,4.236914,5.007002,9.731893,7.213108,2.646213,"ID_47","SKYRA","samseg","SKYRA_samseg"
"55",1.488439,6.776475,4.508755,5.547408,10.20027,8.447658,3.20401,"ID_32","VERIO","samseg","VERIO_samseg"
"56",1.391664,5.991862,4.468662,4.741432,10.225867,7.554709,2.90361,"ID_64","SKYRA","samseg","SKYRA_samseg"
"57",1.611695,6.975788,5.206153,5.849437,9.961434,8.021936,3.386196,"ID_102","VERIO","samseg","VERIO_samseg"
"58",1.435384,6.246931,4.640785,5.012738,10.430574,7.741393,2.819808,"ID_27","VERIO","samseg","VERIO_samseg"
"59",1.264139,5.732776,3.808552,4.608357,9.952596,7.159529,2.731096,"ID_41","SKYRA","samseg","SKYRA_samseg"
"60",1.463377,6.474863,4.700518,5.354207,10.358569,8.207636,3.399059,"ID_118","SKYRA","samseg","SKYRA_samseg"
"61",1.623291,6.952374,5.190353,5.854486,9.973273,8.009978,3.359904,"ID_102","SKYRA","samseg","SKYRA_samseg"
